日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-05-28,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,110,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-29,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,1193,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-29,payment,教育・教養,Udemy,-,-,,,-,（プレミアム会員で表示）,0,1163,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-29,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,880,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-31,payment,交際費,奢り,-,-,,魚雷けん,-,（プレミアム会員で表示）,0,1250,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-31,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,2555,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-31,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,318,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-31,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,661,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-01,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,311,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-03,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,3300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-06-03,payment,エンタメ,ゲーム,-,-,,麻雀,-,（プレミアム会員で表示）,0,640,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
